Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Send	19:49:44.486	Success		0x000000C9	Data	Standard	0x08	0E 74 00 00 00 00 00 00 	
1	Send	19:49:44.486	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
2	Send	19:49:44.486	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
3	Send	19:49:44.486	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
4	Send	19:49:44.486	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
5	Send	19:49:44.487	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
6	Send	19:49:44.487	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
7	Send	19:49:44.487	Success		0x000003B0	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
8	Send	19:49:44.487	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
9	Send	19:49:44.487	Success		0x000000C9	Data	Standard	0x08	12 C0 00 00 00 00 00 00 	
10	Receive	19:49:44.489			0x000002CC	Data	Standard	0x03	07 FF 59 	
11	Send	19:49:44.599	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
12	Send	19:49:44.599	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
13	Send	19:49:44.599	Success		0x00000204	Data	Standard	0x08	00 20 00 00 00 00 00 00 	
14	Send	19:49:44.599	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
15	Send	19:49:44.599	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
16	Send	19:49:44.599	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
17	Send	19:49:44.599	Success		0x000003B0	Data	Standard	0x08	02 00 00 FF 00 00 00 00 	
18	Send	19:49:44.599	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
19	Send	19:49:44.599	Success		0x000000C9	Data	Standard	0x08	13 24 00 00 00 00 00 00 	
20	Receive	19:49:44.601			0x000002CC	Data	Standard	0x03	07 FF 5A 	
21	Send	19:49:44.695	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
22	Send	19:49:44.695	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
23	Send	19:49:44.695	Success		0x00000204	Data	Standard	0x08	00 20 00 00 00 00 00 00 	
24	Send	19:49:44.695	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
25	Send	19:49:44.695	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
26	Send	19:49:44.695	Success		0x000003AA	Data	Standard	0x08	14 01 00 00 00 00 00 00 	
27	Send	19:49:44.695	Success		0x000003B0	Data	Standard	0x08	02 00 00 FF 00 00 00 00 	
28	Send	19:49:44.696	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
29	Send	19:49:44.696	Success		0x000000C9	Data	Standard	0x08	0E 10 00 00 00 00 00 00 	
30	Receive	19:49:44.697			0x000002CC	Data	Standard	0x03	07 FF 5B 	
31	Send	19:49:44.805	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
32	Send	19:49:44.805	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
