Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Send	18:41:55.755	Success		0x000000C9	Data	Standard	0x08	0E 74 00 00 00 00 00 00 	
1	Send	18:41:55.755	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
2	Send	18:41:55.755	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
3	Send	18:41:55.755	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
4	Send	18:41:55.756	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
5	Send	18:41:55.756	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
6	Send	18:41:55.756	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
7	Send	18:41:55.756	Success		0x000003B0	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
8	Send	18:41:55.757	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
9	Send	18:41:55.757	Success		0x000000C9	Data	Standard	0x08	0E D8 00 00 00 00 00 00 	
10	Receive	18:41:55.773			0x000002CC	Data	Standard	0x03	07 FF 0F 	
11	Send	18:41:55.849	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
12	Send	18:41:55.849	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
13	Send	18:41:55.849	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
14	Send	18:41:55.850	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
15	Send	18:41:55.850	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
16	Send	18:41:55.850	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
17	Send	18:41:55.850	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
18	Send	18:41:55.851	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
19	Send	18:41:55.851	Success		0x000000C9	Data	Standard	0x08	0F 3C 00 00 00 00 00 00 	
20	Send	18:41:55.851	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
21	Receive	18:41:55.865			0x000002CC	Data	Standard	0x03	07 FF 10 	
22	Send	18:41:55.974	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
23	Send	18:41:55.974	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
24	Send	18:41:55.975	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
25	Send	18:41:55.975	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
26	Send	18:41:55.975	Success		0x000003AA	Data	Standard	0x08	14 01 00 00 00 00 00 00 	
27	Send	18:41:55.975	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
28	Send	18:41:55.976	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
29	Send	18:41:55.976	Success		0x000000C9	Data	Standard	0x08	0F A0 00 00 00 00 00 00 	
30	Send	18:41:55.976	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
31	Receive	18:41:55.991			0x000002CC	Data	Standard	0x03	07 FF 11 	
32	Send	18:41:56.083	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
33	Send	18:41:56.083	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
34	Send	18:41:56.083	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
35	Send	18:41:56.084	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
36	Send	18:41:56.084	Success		0x000003AA	Data	Standard	0x08	1E 01 00 00 00 00 00 00 	
37	Send	18:41:56.084	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
38	Send	18:41:56.084	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
39	Send	18:41:56.084	Success		0x000000C9	Data	Standard	0x08	10 04 00 00 00 00 00 00 	
40	Receive	18:41:56.099			0x000002CC	Data	Standard	0x03	07 FF 12 	
41	Receive	18:41:56.099			0x000002CC	Data	Standard	0x03	07 FF 13 	
42	Send	18:41:56.206	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
43	Send	18:41:56.206	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
44	Send	18:41:56.206	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
45	Send	18:41:56.206	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
46	Send	18:41:56.206	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
47	Send	18:41:56.207	Success		0x000003AA	Data	Standard	0x08	28 01 00 00 00 00 00 00 	
48	Send	18:41:56.207	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
49	Send	18:41:56.207	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
50	Send	18:41:56.207	Success		0x000000C9	Data	Standard	0x08	10 68 00 00 00 00 00 00 	
51	Receive	18:41:56.222			0x000002CC	Data	Standard	0x03	07 FF 14 	
52	Send	18:41:56.316	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
53	Send	18:41:56.316	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
54	Send	18:41:56.316	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
55	Send	18:41:56.316	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
56	Send	18:41:56.317	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
