Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Send	10:20:00.371	Success		0x000000C9	Data	Standard	0x08	0E 74 00 00 00 00 00 00 	
1	Send	10:20:00.373	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
2	Send	10:20:00.373	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
3	Send	10:20:00.373	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
4	Send	10:20:00.374	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
5	Send	10:20:00.374	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
6	Send	10:20:00.374	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
7	Send	10:20:00.374	Success		0x000003B0	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
8	Send	10:20:00.375	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
9	Send	10:20:00.375	Success		0x000000C9	Data	Standard	0x08	0E D8 00 00 00 00 00 00 	
10	Receive	10:20:00.376			0x000002CC	Data	Standard	0x03	07 FF 14 	
11	Send	10:20:00.468	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
12	Send	10:20:00.468	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
13	Send	10:20:00.468	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
14	Send	10:20:00.469	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
15	Send	10:20:00.469	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
16	Send	10:20:00.469	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
17	Send	10:20:00.469	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
18	Send	10:20:00.470	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
19	Send	10:20:00.470	Success		0x000000C9	Data	Standard	0x08	0F 3C 00 00 00 00 00 00 	
20	Send	10:20:00.470	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
21	Receive	10:20:00.473			0x000002CC	Data	Standard	0x03	07 FF 15 	
22	Receive	10:20:00.473			0x000002CC	Data	Standard	0x03	07 FF 16 	
23	Send	10:20:00.581	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
24	Send	10:20:00.581	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
25	Send	10:20:00.581	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
26	Send	10:20:00.581	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
27	Send	10:20:00.581	Success		0x000003AA	Data	Standard	0x08	14 01 00 00 00 00 00 00 	
28	Send	10:20:00.581	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
29	Send	10:20:00.581	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
30	Send	10:20:00.582	Success		0x000000C9	Data	Standard	0x08	0F A0 00 00 00 00 00 00 	
31	Send	10:20:00.582	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
32	Receive	10:20:00.584			0x000002CC	Data	Standard	0x03	07 FF 17 	
33	Send	10:20:00.677	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
34	Send	10:20:00.677	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
35	Send	10:20:00.677	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
36	Send	10:20:00.677	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
37	Send	10:20:00.677	Success		0x000003AA	Data	Standard	0x08	1E 01 00 00 00 00 00 00 	
38	Send	10:20:00.678	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
39	Send	10:20:00.678	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
40	Send	10:20:00.678	Success		0x000000C9	Data	Standard	0x08	10 04 00 00 00 00 00 00 	
41	Receive	10:20:00.680			0x000002CC	Data	Standard	0x03	07 FF 18 	
42	Send	10:20:00.786	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
43	Send	10:20:00.786	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
44	Send	10:20:00.786	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
45	Send	10:20:00.786	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
46	Send	10:20:00.786	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
47	Send	10:20:00.786	Success		0x000003AA	Data	Standard	0x08	28 01 00 00 00 00 00 00 	
48	Send	10:20:00.786	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
49	Send	10:20:00.787	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
50	Send	10:20:00.787	Success		0x000000C9	Data	Standard	0x08	10 68 00 00 00 00 00 00 	
51	Receive	10:20:00.790			0x000002CC	Data	Standard	0x03	07 FF 19 	
52	Send	10:20:00.881	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
53	Send	10:20:00.881	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
54	Send	10:20:00.881	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
55	Send	10:20:00.881	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
56	Send	10:20:00.881	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
57	Send	10:20:00.881	Success		0x000003AA	Data	Standard	0x08	32 01 00 00 00 00 00 00 	
58	Send	10:20:00.881	Success		0x000003B0	Data	Standard	0x08	02 00 FF 00 00 00 00 00 	
59	Send	10:20:00.881	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
60	Send	10:20:00.881	Success		0x000000C9	Data	Standard	0x08	10 CC 00 00 00 00 00 00 	
61	Receive	10:20:00.883			0x000002CC	Data	Standard	0x03	07 FF 1A 	
62	Send	10:20:00.977	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
63	Send	10:20:00.977	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
64	Send	10:20:00.977	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
65	Send	10:20:00.978	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
66	Send	10:20:00.978	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
67	Send	10:20:00.978	Success		0x000003AA	Data	Standard	0x08	3C 01 00 00 00 00 00 00 	
68	Receive	10:20:00.980			0x000002CC	Data	Standard	0x03	07 FF 1B 	
69	Receive	10:20:00.980			0x000002CC	Data	Standard	0x03	07 FF 1C 	
70	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 1D 	
71	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 1E 	
72	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 1F 	
73	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 20 	
74	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 21 	
75	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 22 	
76	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 23 	
77	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 24 	
78	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 25 	
79	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 26 	
80	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 27 	
81	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 28 	
82	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 29 	
83	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 2A 	
84	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 2B 	
85	Receive	10:20:00.983			0x000002CC	Data	Standard	0x03	07 FF 2C 	
86	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 2D 	
87	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 2E 	
88	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 2F 	
89	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 30 	
90	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 31 	
91	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 32 	
92	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 33 	
93	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 34 	
94	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 35 	
95	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 36 	
96	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 37 	
97	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 38 	
98	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 39 	
99	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 3A 	
100	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 3B 	
101	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 3C 	
102	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 3D 	
103	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 3E 	
104	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 3F 	
105	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 40 	
106	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 41 	
107	Receive	10:20:00.988			0x000002CC	Data	Standard	0x03	07 FF 42 	
108	Receive	10:20:00.992			0x000002CC	Data	Standard	0x03	07 FF 43 	
109	Receive	10:20:00.992			0x000002CC	Data	Standard	0x03	07 FF 44 	
110	Receive	10:20:00.992			0x000002CC	Data	Standard	0x03	07 FF 45 	
111	Receive	10:20:00.992			0x000002CC	Data	Standard	0x03	07 FF 46 	
112	Receive	10:20:00.992			0x000002CC	Data	Standard	0x03	07 FF 47 	
113	Receive	10:20:00.992			0x000002CC	Data	Standard	0x03	07 FF 48 	
