Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Send	19:50:08.399	Success		0x000000C9	Data	Standard	0x08	0E 74 00 00 00 00 00 00 	
1	Send	19:50:08.399	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
2	Send	19:50:08.399	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
3	Send	19:50:08.399	Success		0x00000204	Data	Standard	0x08	00 80 00 00 00 00 00 00 	
4	Send	19:50:08.400	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
5	Send	19:50:08.400	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
6	Send	19:50:08.400	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
7	Send	19:50:08.400	Success		0x000003B0	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
8	Send	19:50:08.401	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
9	Send	19:50:08.401	Success		0x000000C9	Data	Standard	0x08	11 30 00 00 00 00 00 00 	
10	Receive	19:50:08.401			0x000002CC	Data	Standard	0x03	07 FF 11 	
11	Send	19:50:08.498	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
12	Send	19:50:08.498	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
13	Send	19:50:08.498	Success		0x00000204	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
14	Send	19:50:08.499	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
15	Send	19:50:08.499	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
16	Send	19:50:08.499	Success		0x000003AA	Data	Standard	0x08	0A 01 00 00 00 00 00 00 	
17	Send	19:50:08.500	Success		0x000003B0	Data	Standard	0x08	02 00 00 00 FF 00 00 00 	
18	Send	19:50:08.500	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
19	Send	19:50:08.500	Success		0x000000C9	Data	Standard	0x08	11 94 00 00 00 00 00 00 	
20	Receive	19:50:08.501			0x000002CC	Data	Standard	0x03	07 FF 12 	
21	Receive	19:50:08.503			0x000002CC	Data	Standard	0x03	07 FF 13 	
22	Send	19:50:08.595	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
23	Send	19:50:08.595	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
24	Send	19:50:08.595	Success		0x00000204	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
25	Send	19:50:08.596	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
26	Send	19:50:08.596	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
27	Send	19:50:08.596	Success		0x000003AA	Data	Standard	0x08	14 01 00 00 00 00 00 00 	
28	Send	19:50:08.597	Success		0x000003B0	Data	Standard	0x08	02 00 00 00 FF 00 00 00 	
29	Send	19:50:08.597	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
30	Send	19:50:08.597	Success		0x000000C9	Data	Standard	0x08	11 F8 00 00 00 00 00 00 	
31	Send	19:50:08.598	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
32	Receive	19:50:08.599			0x000002CC	Data	Standard	0x03	07 FF 14 	
33	Receive	19:50:08.599			0x000002CC	Data	Standard	0x03	07 FF 15 	
34	Send	19:50:08.707	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
35	Send	19:50:08.707	Success		0x00000204	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
36	Send	19:50:08.707	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
37	Send	19:50:08.707	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
38	Send	19:50:08.707	Success		0x000003AA	Data	Standard	0x08	1E 01 00 00 00 00 00 00 	
39	Send	19:50:08.707	Success		0x000003B0	Data	Standard	0x08	02 00 00 00 FF 00 00 00 	
40	Send	19:50:08.707	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
41	Send	19:50:08.707	Success		0x000000C9	Data	Standard	0x08	12 5C 00 00 00 00 00 00 	
42	Receive	19:50:08.710			0x000002CC	Data	Standard	0x03	07 FF 16 	
43	Send	19:50:08.804	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
44	Send	19:50:08.804	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
45	Send	19:50:08.804	Success		0x00000204	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
46	Send	19:50:08.805	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
47	Send	19:50:08.805	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
48	Send	19:50:08.805	Success		0x000003AA	Data	Standard	0x08	28 01 00 00 00 00 00 00 	
49	Send	19:50:08.806	Success		0x000003B0	Data	Standard	0x08	02 00 00 00 FF 00 00 00 	
50	Send	19:50:08.806	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
51	Send	19:50:08.806	Success		0x000000C9	Data	Standard	0x08	12 C0 00 00 00 00 00 00 	
52	Receive	19:50:08.808			0x000002CC	Data	Standard	0x03	07 FF 17 	
53	Receive	19:50:08.808			0x000002CC	Data	Standard	0x03	07 FF 18 	
54	Send	19:50:08.916	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
55	Send	19:50:08.916	Success		0x00000194	Data	Standard	0x08	00 00 00 01 00 00 00 00 	
56	Send	19:50:08.916	Success		0x00000204	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
57	Send	19:50:08.917	Success		0x00000348	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
58	Send	19:50:08.917	Success		0x00000353	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
59	Send	19:50:08.917	Success		0x000003AA	Data	Standard	0x08	32 01 00 00 00 00 00 00 	
60	Send	19:50:08.918	Success		0x000003B0	Data	Standard	0x08	02 00 00 00 FF 00 00 00 	
61	Send	19:50:08.918	Success		0x0000046A	Data	Standard	0x08	00 00 00 00 21 40 08 80 	
62	Send	19:50:08.918	Success		0x000000C9	Data	Standard	0x08	13 24 00 00 00 00 00 00 	
63	Receive	19:50:08.920			0x000002CC	Data	Standard	0x03	07 FF 19 	
64	Receive	19:50:08.920			0x000002CC	Data	Standard	0x03	07 FF 1A 	
65	Send	19:50:09.012	Success		0x0000017D	Data	Standard	0x08	00 00 00 00 08 00 00 00 	
